term,normalized_term,short_definition,source_titles,source_locations,extraction_confidence,also_appears_as_corpus_term,notes
MMBOE,mmboe,", which excludes a net increase of 905 MMBOE related to sales and purchases, was 106 percent. See ""Supplementary Data - Oil and Gas Operations"" for more information. Environmental, Social and Governance performance. We are committed to the efficient and effective",ConocoPhillips Form 10-K (FY2025),ConocoPhillips Form 10-K (FY2025):p3,high,,
national oil company,national oil company,"ramco would no longer solely be a NOC—a national oil company—representing the Saudi state. It would also be a financial asset. “Oil should be treated as an investment, nothing more, nothing less,” the crown prince declared. Some of those who doubted this radical break, he said, w","Oil: A Beginner's Guide | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale","The New Map: Energy, Climate, and the Clash of Nations:p272 | The World for Sale:p9 | The Economics of Oil and Gas:p14 | Oil: A Beginner's Guide:p33",low,,variant: NOC
natural gas,natural gas,"China LNG is also being used.4 Oil and natural gas are also the feedstock for petrochemicals, from which chemicals and plastics are made. A growing movement focuses on limiting the use of plastic straws and single-use plastic bags, especially owing to ocean pollution an","ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valero Energy Corporation Form 10-K (FY2024) | Valuation of International Oil Companies (Osmundsen et al. 2006)","The New Map: Energy, Climate, and the Clash of Nations:p10 | The World for Sale:p73 | How the World Really Works:p12 | The Economics of Oil and Gas:p7 | Oil: A Beginner's Guide:p27 | Energy: A Beginner's Guide:p8 | Energy (Vaclav Smil):p9 | Oil Company Crisis: Managing Structure, Profitability and Growth:p34",low,,
natural gas liquids,natural gas liquids,"ed by ethane, propane, and butane from natural gas liquids) producing a variety of synthetic fibers, resins, adhesives, dyes, paints and coatings, detergents, and pesticides, all vital in myriad ways to our modern world.40 Given these advantages and benefits, it was predictable",ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil: A Beginner's Guide | The Economics of Oil and Gas,How the World Really Works:p32 | The Economics of Oil and Gas:p14 | Oil: A Beginner's Guide:p59 | Exxon Mobil Corporation Form 10-K (FY2025):p12 | ConocoPhillips Form 10-K (FY2025):p3 | Enterprise Products Partners L.P. Form 10-K (FY2025):p5,low,,variant: NGL
Netback,netback,"8–9 mixed base, 116 naphthene base, 116 netback price for, 243n18 OPEC’s spare production capacity, 206 paraffin-base, 116 physical trading of, 224 quality and product standard, 114–18 refining see refinery costs; refining process reserve, world proven, 211 sulphur",The Economics of Oil and Gas,The Economics of Oil and Gas:p189,low,,
NGL,ngl,of how long crude oil will remain the single most important fossil fuel in the global primary energy supply; nor will I predict when global oil extraction will reach its peak and begin to decline. Answers to these questions are contingent on the unknown magnitude,ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | Oil: A Beginner's Guide,Oil: A Beginner's Guide:p59 | Exxon Mobil Corporation Form 10-K (FY2025):p14 | ConocoPhillips Form 10-K (FY2025):p6 | Enterprise Products Partners L.P. Form 10-K (FY2025):p5,low,,variant: natural gas liquids
NOC,noc,"the same time, the state oil company ADNOC is pursuing a distinctive strategy of privatization, not of the whole company, but rather creating partnerships with international companies in different segments of its business. Sheikh Zayed al Nahyan, who had ruled A","The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations","The New Map: Energy, Climate, and the Clash of Nations:p272 | The Economics of Oil and Gas:p14",low,,variant: national oil company
offshore,offshore,"Israel— in terms of the security of its offshore fields, which are now recognized within Israel as a great national asset. “I promise you, within hours,” declared Hassan Nasrallah, the leader of Hezbollah, the platforms “will cease operating” in the event of conflict.","ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valero Energy Corporation Form 10-K (FY2024)","The New Map: Energy, Climate, and the Clash of Nations:p42 | The World for Sale:p22 | How the World Really Works:p29 | The Economics of Oil and Gas:p37 | Oil: A Beginner's Guide:p51 | Energy: A Beginner's Guide:p47 | Energy (Vaclav Smil):p39 | Oil Company Crisis: Managing Structure, Profitability and Growth:p34",low,,
oilfield services,oilfield services,"ations: Combines the strengths of SLB’s oilfield services with advanced digital technologies to deliver more reliable, efficient, and autonomous field operations. By integrating connected solutions with Performance Live™ digital service delivery centers, customers gain real-t",Enterprise Products Partners L.P. Form 10-K (FY2025) | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025),SLB N.V. (SLB Limited) Form 10-K (FY2025):p3 | Oil: A Beginner's Guide:p100 | Enterprise Products Partners L.P. Form 10-K (FY2025):p104,high,G113,variant: oilfield service
onshore,onshore,"00. By 2014, EOG had become the largest onshore crude oil producer in the United States. Within a couple of years, it would become clear that Papa had understated shale oil. It was not only a North American game changer. It would be a global game changer.2 — TUR[ aUR","ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale","The New Map: Energy, Climate, and the Clash of Nations:p23 | The World for Sale:p97 | How the World Really Works:p42 | The Economics of Oil and Gas:p37 | Oil: A Beginner's Guide:p76 | Energy: A Beginner's Guide:p179 | Energy (Vaclav Smil):p140 | Oil Company Crisis: Managing Structure, Profitability and Growth:p42",low,,
OPEC,opec,"The oil market is much bigger than just OPEC,” Naimi said in February 2016, but other countries had demonstrated “no appetite for sharing the burden.” As a result, he continued, “We left it to the market as the most efficient way to rebalance supply and demand. It","ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valero Energy Corporation Form 10-K (FY2024)","The New Map: Energy, Climate, and the Clash of Nations:p26 | The World for Sale:p43 | How the World Really Works:p26 | The Economics of Oil and Gas:p7 | Oil: A Beginner's Guide:p19 | Energy: A Beginner's Guide:p117 | Energy (Vaclav Smil):p91 | Oil Company Crisis: Managing Structure, Profitability and Growth:p17",low,,variant may include OPEC+
Operating cash flow,operating cash flow,orking capital acquired -20 20 Operating cash flow 50 50 50 Free cash flow -120 50 50 70 IRR 18.4% Year two capex Capital expenditure -110 Working capital acquired -25 25 Operating cash flow 55 55 55 Free cash,"ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth | Valero Energy Corporation Form 10-K (FY2024)","Oil Company Crisis: Managing Structure, Profitability and Growth:p73 | ConocoPhillips Form 10-K (FY2025):p37 | Enterprise Products Partners L.P. Form 10-K (FY2025):p38 | Valero Energy Corporation Form 10-K (FY2024):p61",low,G186,
peak oil,peak oil,"in those years reinforced the fears of “peak oil”— running out of petroleum—which made non-gasoline-powered transportation look increasingly interesting. And of critical importance were government policies—incentives, subsidies, and regulations on fuel economy and emi","Energy (Vaclav Smil) | Energy: A Beginner's Guide | How the World Really Works | Oil: A Beginner's Guide | The New Map: Energy, Climate, and the Clash of Nations","The New Map: Energy, Climate, and the Clash of Nations:p13 | How the World Really Works:p209 | Oil: A Beginner's Guide:p7 | Energy: A Beginner's Guide:p166 | Energy (Vaclav Smil):p129",low,,
petroleum,petroleum,"Wang Yilin, chairman of China National Petroleum Company, asked their presidents for approval, which each expeditiously gave. With that, the technicians opened the valves just in time to begin to supply China for the winter. “This is a genuinely historical event,” sai","ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valero Energy Corporation Form 10-K (FY2024) | Valuation of International Oil Companies (Osmundsen et al. 2006)","The New Map: Energy, Climate, and the Clash of Nations:p10 | The World for Sale:p11 | How the World Really Works:p33 | The Economics of Oil and Gas:p7 | Oil: A Beginner's Guide:p27 | Energy: A Beginner's Guide:p110 | Energy (Vaclav Smil):p85 | Oil Company Crisis: Managing Structure, Profitability and Growth:p14",low,,
physical trading,physical trading,"In doing so, he straddled the worlds of physical trading and high finance – not only shipping oil around the world but also executing derivatives trades on behalf of airlines and investors – and thereby ensured that one part of the historic trading house, at least, would pros",The Economics of Oil and Gas | The World for Sale,The World for Sale:p102 | The Economics of Oil and Gas:p240,low,G113,
Pipeline,pipeline,S. exports of natural gas to Mexico via pipelines were larger than all of the LNG exports combined. The United States is delivering 60 percent of Mexico’s total gas supply and 65 percent of its gasoline. This is part of the new map of North American energy integration,"ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valero Energy Corporation Form 10-K (FY2024)","The New Map: Energy, Climate, and the Clash of Nations:p6 | The World for Sale:p7 | How the World Really Works:p31 | The Economics of Oil and Gas:p10 | Oil: A Beginner's Guide:p47 | Energy: A Beginner's Guide:p112 | Energy (Vaclav Smil):p87 | Oil Company Crisis: Managing Structure, Profitability and Growth:p14",low,,
possible reserves,possible reserves,"l and Gas 38 38 • Proved, probable and possible reserves: a greater than 10 per cent chance of being produced. Clearly, among the three classes the most restrictive definition is proven reserves, as this indicates the amount of oil and gas that will almost certainly be rec","ConocoPhillips Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | The Economics of Oil and Gas","The Economics of Oil and Gas:p54 | Oil: A Beginner's Guide:p117 | Oil Company Crisis: Managing Structure, Profitability and Growth:p78 | ConocoPhillips Form 10-K (FY2025):p61",low,,do not collapse with proved/probable
power density,power density,"and specific properties and processes (power density, energy transitions). The rest of my output betrays my interdisciplinary quests: I have written about such fundamental phenomena as growth—in all of its natural and anthropogenic guises—and risk; about the global enviro",Energy (Vaclav Smil) | Energy: A Beginner's Guide | How the World Really Works | Oil: A Beginner's Guide,How the World Really Works:p15 | Oil: A Beginner's Guide:p178 | Energy: A Beginner's Guide:p23 | Energy (Vaclav Smil):p21,low,,
primary energy,primary energy,"and some crude oil) provide half of all primary energy, and traditional fuels (wood, charcoal, straw) the other half. Water turbines in hydro stations generate the first primary electricity during the 1880s; later comes geothermal electricity, and after the Second World War",Energy (Vaclav Smil) | Energy: A Beginner's Guide | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil: A Beginner's Guide | The Economics of Oil and Gas,How the World Really Works:p22 | The Economics of Oil and Gas:p15 | Oil: A Beginner's Guide:p10 | Energy: A Beginner's Guide:p58 | Energy (Vaclav Smil):p47 | Exxon Mobil Corporation Form 10-K (FY2025):p40,low,,
probable reserves,probable reserves,"ons and known technology. • Proved and probable reserves: a greater than 50 per cent chance of being produced. Exploration, development and production 37 37 37 37 BOX 2.3 NEW TECHNOLOGIES OF EXPLORATION AND PRODUCTION Three-​dimensional seismic surveying is an advanced",Exxon Mobil Corporation Form 10-K (FY2025) | Oil: A Beginner's Guide | The Economics of Oil and Gas,The Economics of Oil and Gas:p52 | Oil: A Beginner's Guide:p117 | Exxon Mobil Corporation Form 10-K (FY2025):p66,low,,do not collapse with proved/possible
processing,processing,"fabrication and other manufacturing and processing plants, as well as refining and infrastructure. The primary reason is the abundance of low-cost natural gas. It is used both as a fuel and as a raw material for making chemicals. It also helps lower the cost of generati","ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valero Energy Corporation Form 10-K (FY2024)","The New Map: Energy, Climate, and the Clash of Nations:p38 | The World for Sale:p195 | How the World Really Works:p23 | The Economics of Oil and Gas:p36 | Oil: A Beginner's Guide:p8 | Energy: A Beginner's Guide:p22 | Energy (Vaclav Smil):p20 | Oil Company Crisis: Managing Structure, Profitability and Growth:p37",low,,
production,production,"For example, certain assets used in the production of oil and natural gas have a shorter life than the reserves, and as such, the Corporation uses straight-line depreciation to ensure the asset is fully depreciated by the end of its useful life. To the extent that prove",ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | SLB N.V. (SLB Limited) Form 10-K (FY2025) | Valero Energy Corporation Form 10-K (FY2024),Exxon Mobil Corporation Form 10-K (FY2025):p3 | ConocoPhillips Form 10-K (FY2025):p3 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p3 | Enterprise Products Partners L.P. Form 10-K (FY2025):p5 | Valero Energy Corporation Form 10-K (FY2024):p3,high,,
production growth,production growth,"5, 95–6; Portland cement, 95–6; postwar production growth, 117; reinforced concrete, 78, 95–9; uses, 95–8 CFCs see chlorofluorocarbons chicken farming, 25, 57–8 child abduction, 134–5 Chile, 81 chimpanzees, 72 China: agriculture, 45, 59, 70, 73, 82–3, 175; air conditioning use",ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | How the World Really Works | SLB N.V. (SLB Limited) Form 10-K (FY2025) | Valuation of International Oil Companies (Osmundsen et al. 2006),How the World Really Works:p315 | Valuation of International Oil Companies (Osmundsen et al. 2006):p1 | ConocoPhillips Form 10-K (FY2025):p64 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p28 | Enterprise Products Partners L.P. Form 10-K (FY2025):p44,low,,
Production Sharing,production sharing,"ternational Petroleum Fiscal System and Production Sharing Contracts. Tulsa, OK: PennWell Books. Johnston, D. 1996. “Complexity index indicates refinery capability, value”. Oil and Gas Journal 94(12): 74–​80. Johnston, D. 2003. International Exploration Economics, Risk, and C",ConocoPhillips Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | The Economics of Oil and Gas,The Economics of Oil and Gas:p264 | Exxon Mobil Corporation Form 10-K (FY2025):p12 | ConocoPhillips Form 10-K (FY2025):p3,low,,
proved reserves,proved reserves,nvestor can book only a portion of the proved reserves. Changes in the oil and gas price result in adjustments to the investor’s share of reserves and production entitlement. The equipment and installation permanently affixed to the ground and/​or destined for explor­ ati,"ConocoPhillips Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | The Economics of Oil and Gas | Valuation of International Oil Companies (Osmundsen et al. 2006)","The Economics of Oil and Gas:p75 | Oil: A Beginner's Guide:p117 | Oil Company Crisis: Managing Structure, Profitability and Growth:p78 | Valuation of International Oil Companies (Osmundsen et al. 2006):p8 | Exxon Mobil Corporation Form 10-K (FY2025):p11 | ConocoPhillips Form 10-K (FY2025):p5 | Exxon Mobil Corporation Form 10-K (FY2025):p67 | ConocoPhillips Form 10-K (FY2025):p20",low,,do not collapse with probable/possible; variant: proved reserve
PSC,psc,"PSCs is relatively modest, the study of PSCs effectively covers all aspects of contractual systems. The terminology and arithmetic of most PSCs and service agreements are almost identical. Royalty/​tax systems Example 1: Assume the gross revenue from one projec",ConocoPhillips Form 10-K (FY2025) | The Economics of Oil and Gas,The Economics of Oil and Gas:p14 | ConocoPhillips Form 10-K (FY2025):p3,low,,
recovery factor,recovery factor,.1). Tertiary recovery can improve the recovery factor by another 5 to 15 per cent. Most gas reserves are produced during the primary recovery phase. Secondary recovery and tertiary recovery have significantly contributed to increasing oil recoveries. The Economics of,Oil: A Beginner's Guide | The Economics of Oil and Gas,The Economics of Oil and Gas:p39 | Oil: A Beginner's Guide:p69,low,,
refinery,refinery,"d he planned to build an $8 billion oil refinery in his home state of Tabasco, which is expected to end up costing a good deal more. Overall, his number one target is energy reform. “The technocrats,” he said, “deceived us.” For him, Pemex and its nationalization are","Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valero Energy Corporation Form 10-K (FY2024)","The New Map: Energy, Climate, and the Clash of Nations:p50 | The World for Sale:p20 | The Economics of Oil and Gas:p11 | Oil: A Beginner's Guide:p20 | Energy: A Beginner's Guide:p150 | Energy (Vaclav Smil):p116 | Oil Company Crisis: Managing Structure, Profitability and Growth:p16 | Exxon Mobil Corporation Form 10-K (FY2025):p23",low,,
refining,refining,"of Contents Information with regard to refining and chemical capacity: ExxonMobil manufactures, trades, and sells petroleum and petrochemical products. Our refining and chemical operations are highly integrated and encompass a global network of manufacturing plants,",Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | SLB N.V. (SLB Limited) Form 10-K (FY2025) | Valero Energy Corporation Form 10-K (FY2024),Exxon Mobil Corporation Form 10-K (FY2025):p5 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p9 | Enterprise Products Partners L.P. Form 10-K (FY2025):p18 | Valero Energy Corporation Form 10-K (FY2024):p3,high,,
refining margin,refining margin,"is also frequently referred to as gross refining margin. The most widely used crack spread measure in the United States is the 3:2:1 crack spread, which is the difference between the cost of buying three barrels of crude oil and the revenues from selling two barrels of ga","Exxon Mobil Corporation Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth | The Economics of Oil and Gas | Valero Energy Corporation Form 10-K (FY2024)","The Economics of Oil and Gas:p140 | Oil Company Crisis: Managing Structure, Profitability and Growth:p45 | Exxon Mobil Corporation Form 10-K (FY2025):p45 | Valero Energy Corporation Form 10-K (FY2024):p52",low,,
Renewable,renewable,"Despite the growth of nuclear power and renewables, 85 percent of China’s energy today comes from fossil fuels. The structure of China’s energy economy differs from North America’s and Europe’s; it is heavily reliant on coal—almost 60 percent of its total energy, compa","ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valero Energy Corporation Form 10-K (FY2024)","The New Map: Energy, Climate, and the Clash of Nations:p4 | The World for Sale:p321 | How the World Really Works:p11 | The Economics of Oil and Gas:p66 | Oil: A Beginner's Guide:p12 | Energy: A Beginner's Guide:p9 | Energy (Vaclav Smil):p10 | Oil Company Crisis: Managing Structure, Profitability and Growth:p63",low,,
Renewable Diesel,renewable diesel,"lizations. Key Recent Events Strathcona Renewable Diesel project: Started up the project at the Strathcona refinery, which is designed to use low-carbon hydrogen, locally-sourced and grown feedstocks, and our proprietary catalyst to produce renewable diesel. Fawley Hydrofiner",Exxon Mobil Corporation Form 10-K (FY2025) | Valero Energy Corporation Form 10-K (FY2024),Exxon Mobil Corporation Form 10-K (FY2025):p50 | Valero Energy Corporation Form 10-K (FY2024):p3,high,,
renewables,renewables,"Despite the growth of nuclear power and renewables, 85 percent of China’s energy today comes from fossil fuels. The structure of China’s energy economy differs from North America’s and Europe’s; it is heavily reliant on coal—almost 60 percent of its total energy, compar","Energy: A Beginner's Guide | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale","The New Map: Energy, Climate, and the Clash of Nations:p9 | The World for Sale:p278 | How the World Really Works:p12 | The Economics of Oil and Gas:p18 | Energy: A Beginner's Guide:p195 | Exxon Mobil Corporation Form 10-K (FY2025):p40",low,,
reserve replacement ratio,reserve replacement ratio,"a set include oil and gas produc- tion, reserve replacement ratios, unit production costs and unit finding and devel- opment costs. Oil and gas production (OGPit) is defined as total production of liq- uids and natural gas, as reported in financial statements (SEC 10K reports). The",ConocoPhillips Form 10-K (FY2025) | Valuation of International Oil Companies (Osmundsen et al. 2006),Valuation of International Oil Companies (Osmundsen et al. 2006):p8 | ConocoPhillips Form 10-K (FY2025):p20,low,,variant: RRR
reservoir,reservoir,"oks, the oil and gas then migrated into reservoirs, from which it could be extracted. It was thought at the time that oil and gas might still remain in the shale but could not be produced on a commercial basis because they could not flow through the dense rock. The dra","ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale","The New Map: Energy, Climate, and the Clash of Nations:p19 | The World for Sale:p49 | How the World Really Works:p42 | The Economics of Oil and Gas:p18 | Oil: A Beginner's Guide:p58 | Energy: A Beginner's Guide:p13 | Energy (Vaclav Smil):p14 | Oil Company Crisis: Managing Structure, Profitability and Growth:p29",low,G112,
Return on Average Capital Employed,return on average capital employed,"rgy Conference 2005, Bergen Norway. 1. Return on Average Capital Employed. 50 / The Energy Journal “I am disappointed about the shortfall of investments on the supply side. Large, international oil companies seem to prefer looking for oil at the NYMEX trading floor, instead of exploring",Exxon Mobil Corporation Form 10-K (FY2025) | Valuation of International Oil Companies (Osmundsen et al. 2006),Valuation of International Oil Companies (Osmundsen et al. 2006):p1 | Exxon Mobil Corporation Form 10-K (FY2025):p31,low,G139,variant: RoACE
rig count,rig count,"11 Source: Baker Hughes, “International rig count”; available at: https://​rigcount.bhge.com/​intl-​rig-​count. The Economics of Oil and Gas 192 192 Mitchell Energy and shale gas development19 Few businesspeople have done as much to change the world as George Mitch",Enterprise Products Partners L.P. Form 10-K (FY2025) | The Economics of Oil and Gas,The Economics of Oil and Gas:p206 | Enterprise Products Partners L.P. Form 10-K (FY2025):p68,low,,
ROACE,roace,"arket/book value of capital Growth rate ROACE 15% ROACE 12% A Question of Profitability 65 latter. One approach that deals methodically with this problem is the valuation method championed by another firm of consultants, Holt (now a part of Credit Suisse First B","Oil Company Crisis: Managing Structure, Profitability and Growth | Valuation of International Oil Companies (Osmundsen et al. 2006)","Oil Company Crisis: Managing Structure, Profitability and Growth:p71 | Valuation of International Oil Companies (Osmundsen et al. 2006):p1",low,,variant: return on average capital employed
royalties,royalties,"exchange for the possibility of future royalties—and maybe riches. The independents carried the race to other shales in Louisiana and Arkansas, in Oklahoma, and then to what would prove to be the greatest shale gas play of all, the mighty Marcellus, a thick bedrock a","ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | Oil: A Beginner's Guide | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale","The New Map: Energy, Climate, and the Clash of Nations:p23 | The World for Sale:p201 | The Economics of Oil and Gas:p47 | Oil: A Beginner's Guide:p36 | Exxon Mobil Corporation Form 10-K (FY2025):p120 | ConocoPhillips Form 10-K (FY2025):p140 | Enterprise Products Partners L.P. Form 10-K (FY2025):p51",low,,
royalty,royalty,"London hotel known for hosting visiting royalty. Glasenberg was there to meet the prime minister of Qatar, in a last-ditch attempt to save his merger with Xstrata. Also in attendance was Tony Blair, the former British prime minister, who had a close relationship with",ConocoPhillips Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The World for Sale,The World for Sale:p219 | The Economics of Oil and Gas:p73 | Exxon Mobil Corporation Form 10-K (FY2025):p5 | ConocoPhillips Form 10-K (FY2025):p50 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p11,low,,
Sanctions,sanctions,"Chapter 13 OIL AND THE STATE he U.S.–EU sanctions, as well as those of other countries, including Japan and Norway, had been imposed at a time of high oil prices and expectations of a continuing tight market. But then in late 2014 the oil price collapsed, delivering a","ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valero Energy Corporation Form 10-K (FY2024)","The New Map: Energy, Climate, and the Clash of Nations:p6 | The World for Sale:p8 | The Economics of Oil and Gas:p223 | Oil: A Beginner's Guide:p34 | Oil Company Crisis: Managing Structure, Profitability and Growth:p30 | Exxon Mobil Corporation Form 10-K (FY2025):p4 | ConocoPhillips Form 10-K (FY2025):p25 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p9",low,,
Scope 1,scope 1,"ely to achieve net zero with respect to Scope 1 and 2 emissions from our operated assets with continued technology development and government policy support, which carries risks that the transition, including underlying technologies, government policies, and markets",ConocoPhillips Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | SLB N.V. (SLB Limited) Form 10-K (FY2025),Exxon Mobil Corporation Form 10-K (FY2025):p7 | ConocoPhillips Form 10-K (FY2025):p21 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p5,high,,
Scope 2,scope 2,"ncluding ambitions to reach Scope 1 and Scope 2 net zero from operated assets by 2050, to reach Scope 1 and 2 net zero in integrated Upstream Permian Basin unconventional operated assets by 2035, to eliminate routine flaring in-line with World Bank Zero Routine Flari",Exxon Mobil Corporation Form 10-K (FY2025),Exxon Mobil Corporation Form 10-K (FY2025):p38,high,,
Scope 3,scope 3,"elated Risk Strategy does not include a Scope 3 emissions target. We recognize that end-use emissions must be reduced to meet global climate objectives. However, it is our view that supply-side constraints through Scope 3 targets for North American and European ups",ConocoPhillips Form 10-K (FY2025) | SLB N.V. (SLB Limited) Form 10-K (FY2025),ConocoPhillips Form 10-K (FY2025):p59 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p5,high,,
